text,start,duration
and look at the electron transport chain,1447.37,3.66
which we saw earlier thanks to dr. Eid,1448.96,4.26
electron transport rates so you've got,1451.03,3.18
you know you're pumping all these,1453.22,2.55
protons across this membrane it's like a,1454.21,3.66
little battery that powers your ATP,1455.77,3.84
synthase motor and it spring loads all,1457.87,3.93
your ATP molecules bla bla bla when,1459.61,4.64
you're just doing beta oxidation of fat,1461.8,4.83
everything runs really smoothly your,1464.25,4.15
level loading your electron transport,1466.63,3.84
chain the membrane potential is perfect,1468.4,4.8
everything's nice your body is designed,1470.47,4.83
to just live off of stored body fat so,1473.2,4.05
just burning fat has to be worked,1475.3,3.51
perfectly but you dumped a bunch of,1477.25,4.17
glucose on top of this and you overdrive,1478.81,4.62
plus one and you get too much membrane,1481.42,3.57
potential in too many reactive oxygen,1483.43,3.33
species and you literally get something,1484.99,3.24
called glucose toxicity in your,1486.76,2.94
mitochondria you can basically bust,1488.23,4.77
those suckers by trying to burn sugar on,1489.7,4.62
top of beta-oxidation,1493.0,4.11
okay let's take this into the real world,1494.32,5.16
right real world here's a company that,1497.11,5.4
specializes in obesogenic rat chow this,1499.48,4.77
is what they do they make an obesogenic,1502.51,4.38
rat chow that people pay money for this,1504.25,4.65
stuff it's supposed to make you as fat,1506.89,4.62
as possible as fast as possible I'm,1508.9,4.59
talking visceral obesity liver fat,1511.51,3.93
insulin resistance diabetes the whole,1513.49,4.59
thing this this obesogenic rat chow is,1515.44,6.54
very low in protein it's high in fat and,1518.08,5.7
carbs it's really high in carbs if you,1521.98,4.89
look at the ground it's vaguely eerily,1523.78,5.27
similar to the standard American diet,1526.87,6.9
it's pretty sad right yeah so we know,1529.05,6.88
how to make we know how to make both,1533.77,4.74
animals and healings as fat fat as,1535.93,4.8
possible as rapidly as possible it's,1538.51,4.29
sugar and fat together right the obg,1540.73,3.78
undergrad Chow is a refined process,1542.8,4.02
concentrated fat and sugar mixed,1544.51,4.08
together it's usually cornstarch and,1546.82,3.66
vegetable oil or something like that but,1548.59,3.45
it's low in protein low in nutrients,1550.48,3.81
it's just sugar and fat and that is how,1552.04,4.86
you get anything as fat as possible as,1554.29,4.65
rapidly as possible you can feed humans,1556.9,3.59
donuts it's pretty much the same thing,1558.94,4.68
so we know how to get the very highest,1560.49,5.44
insulin levels the most overfilled out,1563.62,4.08
of the sides the worst body composition,1565.93,3.57
the highest fat mouth the lowest lean,1567.7,4.23
mass you do that by feeding high carb,1569.5,4.02
and high fat right and you keep,1571.93,3.96
everything else low sugar and fat this,1573.52,5.16
is a absolute worst we also know how to,1575.89,5.46
get your adipocytes the very smallest,1578.68,5.73
and how to get the very lowest infant,1581.35,4.83
levels and we note that thanks to,1584.41,3.63
natural bodybuilders and fitness models,1586.18,4.05
and aesthetic athletes and they,1588.04,4.38
accomplish this by either going well,1590.23,4.38
they usually go high in protein very low,1592.42,5.07
in carbs and sort of low issue in fat we,1594.61,4.32
have studies that document how this is,1597.49,3.54
done this is female fitness competitors,1598.93,5.25
they achieve this low body fat reducing,1601.03,5.19
carbohydrate intake while maintaining a,1604.18,3.48
high level of protein resistance,1606.22,3.03
training and moderate fat so it's,1607.66,3.35
basically very low carb high protein,1609.25,5.44
moderate fat and lifting so,1611.01,6.56
we also know what calories got dumped,1614.69,6.03
into the American diet to cause the,1617.57,5.159
obesity epidemic over the past six years,1620.72,4.049
right grains oils and sugars this is,1622.729,4.65
flour sugar and oil or as I call it the,1624.769,4.53
processed food trifecta right flour,1627.379,5.79
sugar and oil in 2010 60% of all the,1629.299,5.88
American calories were flour sugar and,1633.169,4.14
oil we're literally eating obesogenic,1635.179,5.07
rat chow and we're just maxing out all,1637.309,6.96
our fat cells right ok I'm almost done I,1640.249,5.52
just have like two slides left I just,1644.269,3.24
want to point out that your adipocytes,1645.769,4.62
are there for daily fat flux you're out,1647.509,4.711
of cites are supposed to expand during,1650.389,3.87
the day when you're eating shrink at,1652.22,3.779
night when you're fasting and living off,1654.259,3.6
of stores that and as long as you have,1655.999,5.13
plenty of room for fat flux you know as,1657.859,4.351
long as you're out of the sights are,1661.129,2.61
empty enough that you have plenty of,1662.21,2.339
room for this flux,1663.739,2.37
everything's fine that's how it's,1664.549,4.26
supposed to work there's also a seasonal,1666.109,5.101
component to this fat flux piece all,1668.809,4.47
energy on earth comes from the Sun and,1671.21,3.569
the summertime there's more sunlight,1673.279,4.65
plants make more sugar herbivores eat,1674.779,5.09
more sugar and they get fatter,1677.929,4.38
carnivores eat more fat from sadr,1679.869,5.38
herbivores and they get fatter omnivores,1682.309,5.521
like humans come along we more sugar and,1685.249,6.0
more fat and we get really fatter the,1687.83,5.459
classic example is a bear right this is,1691.249,4.5
a classic omnivore and these are actual,1693.289,4.14
bear out of the site's in the summer,1695.749,3.0
they've got sugar,1697.429,3.99
they've fruit and honey and berries and,1698.749,4.86
they're also eating more fat because the,1701.419,4.14
animals are salary in the summer so,1703.609,3.27
they're any more sugar in fact they're,1705.559,3.12
expanding our episodes they become,1706.879,4.41
insulin resistant and then in the winter,1708.679,5.34
time everything changes right no more,1711.289,4.86
glucose at all there's no plant sugars,1714.019,4.681
at all in the winter time so they're,1716.149,4.171
just eating protein in fact there's also,1718.7,4.109
less fat because animals are leaner in,1720.32,5.819
the winter time so that's really the end,1722.809,4.62
of my talk but I just want to end by,1726.139,4.051
saying that in this country we've made,1727.429,5.271
it summer time the peak of summer time,1730.19,5.489
24 hours a day 365 days a year is just,1732.7,5.799
sure if that together day after day,1735.679,4.651
after day we've all maxed out or out of,1738.499,2.31
the site's,1740.33,3.779
half the planet insulin resistant and I,1740.809,4.86
think it's time a lot of us made it,1744.109,4.231
autumn you know we're there,1745.669,5.041
a lot less plant sugars and way less,1748.34,4.709
glucose so we can finally burn some sod,1750.71,5.01
for a change and for some of it it's may,1753.049,4.081
be time to make it the dead of winter,1755.72,4.709
where we know glucose at all and you,1757.13,6.45
know maybe even less fat so yeah that,1760.429,4.811
concludes my talk yeah,1763.58,5.199
[Applause],1765.24,3.539
